Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",0,4.30,"Little, Brown Books for Young Readers",ebook,336,2019,2019,,2024/07/30,to-read,to-read (#10),to-read,,,,0,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,"=""0399162410""","=""9780399162411""",3,4.01,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2024/07/30,,,read,,,,1,0
62119766,The Luis Ortega Survival Club,Sonora Reyes,"Reyes, Sonora",,"=""0063060302""","=""9780063060302""",3,4.24,Balzer + Bray,Hardcover,320,2023,2023,,2024/07/30,lgbtq,lgbtq (#7),read,,,,1,0
56903657,Monkey King: Journey to the West,Wu Cheng'en,"Cheng'en, Wu","Julia Lovell, Gene Luen Yang","=""0143136305""","=""9780143136309""",3,4.10,Penguin Classics,Paperback,384,2022,1592,,2024/07/30,,,read,,,,1,0
158786,Monkey: A Journey to the West,David Kherdian,"Kherdian, David",Wu Cheng'en,"=""1590302583""","=""9781590302583""",3,3.78,Shambhala Classics,Paperback,209,2005,2014,,2024/07/30,,,read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",3,4.04,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,2024/07/29,2024/07/27,,,read,,,,1,0
19351043,Nimona,N.D. Stevenson,"Stevenson, N.D.",,"=""""","=""""",4,4.18,Harper Collins,Kindle Edition,272,2015,2015,,2024/07/27,"action, lgbtq","action (#10), lgbtq (#6)",read,,,,1,0
76705490,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639730966""","=""9781639730964""",3,4.36,Bloomsbury Publishing,Hardcover,420,2023,2013,,2024/07/27,,,read,,,,1,0
58505006,Aces Wild: A Heist,Amanda DeWitt,"DeWitt, Amanda",,"=""1682634663""","=""9781682634660""",0,3.78,Peachtree Teen,Hardcover,352,2022,2022,,2024/07/29,to-read,to-read (#9),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.16,Knopf,Hardcover,401,2022,2022,,2024/07/27,to-read,to-read (#8),to-read,,,,0,0
